combination,r2,adj_r2,q2,mae,rmsd,threshold,model,predictions
"('cross_12_0', 'para_12_0', 'cm5_atom_23')",0.8093101299588581,0.7684480149500419,0.4947913735368763,0.2181855248900388,0.30062737726702576,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.16735182 -0.30360623  1.29487397  0.48813188 -0.07225805  1.03586055
  0.68668322  0.46498055  0.82417964  0.80137045  1.02323739  0.67218502
  0.72935007  0.4759516   0.39465715  0.51991364  0.27173598  0.64120135]"
"('cross_12_0', 'para_12_0', 'cm5_atom_3')",0.8814809715934838,0.8560840369349446,0.8221473032061284,0.1664924306709458,0.17837064248335804,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.02380628  0.17930591  1.25556976  0.57403437 -0.15555082  1.18093838
  0.6152357   0.40784717  0.67186486  0.9443031   0.91172598  0.69638588
  0.35628108  0.10860787  0.29115987  0.96189592  0.21734291  0.8750458 ]"
"('cross_12_0', 'para_12_0', 'nbo_diff_8-3')",0.8699099822553464,0.8420335498814921,0.8162297711850149,0.15865465863677108,0.1813137445823687,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[-0.02911176  0.0728151   1.25467236  0.57288184 -0.11379843  1.1589405
  0.5695257   0.44716135  0.63297227  0.92259792  0.89561814  0.68012177
  0.40795772  0.16573607  0.23820085  0.94465721  0.3317746   0.96307679]"
"('cross_12_0', 'para_12_0', 'nbo_diff_8-1')",0.8311493577034106,0.7949670772112842,0.6245563817869245,0.20026653429203284,0.2591585327722572,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.01658289  0.23262717  1.41420681  0.46232186 -0.06561308  1.11134389
  0.57361067  0.46073697  0.71060124  0.86228295  0.96396391  0.66221946
  0.63115865  0.22781847  0.28887198  0.80468032  0.04197355  0.7164123 ]"
"('cross_12_0', 'para_12_0', 'nbo_diff_3-1')",0.8735241019822342,0.84642212383557,0.7900947956422422,0.1691557141566531,0.1937781264035791,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[-0.02229975  0.1492173   1.35460082  0.5147349  -0.10598867  1.15356813
  0.57379818  0.45353038  0.68022264  0.90009842  0.94656452  0.67278789
  0.52502956  0.19353606  0.24729998  0.8779715   0.1611175   0.84001062]"
"('cross_12_0', 'para_12_0', 'hirshfeld_diff_8-3')",0.2962997485333778,0.14550683750481597,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.22050926 0.25681115 1.19263333 0.38495658 0.39465496 0.70378736
 0.42037633 0.54314941 0.55224332 0.59683719 0.68286729 0.55867994
 0.9913967  0.55465317 0.60789808 0.35672664 0.51867597 0.57894331]"
"('cross_12_0', 'para_12_0', 'hirshfeld_diff_8-1')",0.37289711542328663,0.23851792587113374,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.50132465 0.44690874 0.83148096 0.62662309 0.20595824 0.72783285
 0.61470083 0.41329119 0.52393665 0.79913051 0.55138066 0.69919393
 0.09394366 0.01832108 0.67199391 1.09861947 0.5394035  0.75175607]"
"('cross_12_0', 'para_12_0', 'hirshfeld_diff_3-1')",0.8315071119398076,0.7954014930697664,0.7355432019604937,0.20465905483864832,0.217505637013838,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.02473213  0.19353555  1.22507083  0.57884145 -0.06411764  1.13503102
  0.56123864  0.45549265  0.61905383  0.94423413  0.86898985  0.70108182
  0.32841524  0.06501777  0.27424225  1.03646956  0.26177859  0.90669234]"
"('cross_12_0', 'para_12_0', 'cm5_diff_8-3')",0.6767214841921467,0.6074475165190353,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[-0.0477214  -0.02061129  1.34555887  0.42940407  0.11743767  1.0270283
  0.45543296  0.52237002  0.63085379  0.75751413  0.88882108  0.60276936
  0.90903032  0.49709943  0.33976315  0.48742584  0.39029612  0.78332757]"
"('cross_12_0', 'para_12_0', 'cm5_diff_8-1')",0.48772345592885025,0.3779499107707468,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.39291697  0.48034705  0.93258232  0.62108763  0.1379741   0.82811494
  0.6005247   0.42551914  0.53792015  0.85403482  0.62215758  0.70749513
  0.09410913 -0.04342831  0.56826158  1.1606038   0.41526541  0.78031387]"
"('cross_12_0', 'para_12_0', 'cm5_diff_3-1')",0.8361171525318296,0.800999399502936,0.7474023575417319,0.1992180816303535,0.21257285020892672,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 0.01909534  0.17504907  1.22914605  0.57415952 -0.06452243  1.13955078
  0.55892608  0.45664169  0.62234391  0.94262864  0.87467713  0.69952378
  0.34032612  0.0771832   0.27283635  1.02983682  0.25820537  0.91019256]"
"('cross_12_0', 'para_12_0', 'B1_1-23')",0.12760207216824482,-0.05934034093856,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.57887844 0.40934214 0.88357201 0.53595785 0.54952911 0.57307217
 0.48443686 0.58261349 0.57279546 0.61308836 0.57624232 0.53917279
 0.51328147 0.09871985 0.77147147 0.59043477 0.66765931 0.57553212]"
"('cross_12_0', 'para_12_0', 'B5_1-23')",0.15992569760597175,-0.02009022433560559,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.64092528 0.48844345 0.94926928 0.41777672 0.52749316 0.57455349
 0.57923493 0.54110733 0.5634078  0.69449694 0.53966115 0.71965206
 0.54139925 0.13896369 0.80199697 0.55890304 0.34921781 0.48929766]"
"('cross_12_0', 'para_12_0', 'L_1-23')",0.11462467234098617,-0.07509861215737401,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.46221977 0.4321783  0.89208946 0.51673143 0.51737008 0.50676884
 0.58235841 0.30439953 0.66237334 0.58584082 0.48122303 0.63392715
 0.60351291 0.38447828 0.85328942 0.60154867 0.64010917 0.45538141]"
"('cross_12_0', 'para_12_0', 'loc_B5_1-23')",0.1032831242873824,-0.08887049193674978,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.55983125 0.3120937  0.87692132 0.62153106 0.43601189 0.5004436
 0.51757683 0.4556842  0.48644645 0.58283767 0.46167057 0.5911071
 0.57214462 0.44634528 0.86749337 0.64843323 0.61791007 0.56131779]"
"('cross_12_0', 'para_12_0', 'B1_B5_angle_1-23')",0.09041517202866489,-0.10449586253662124,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.5569027  0.44500103 0.87193596 0.39045701 0.48508729 0.51802445
 0.50741345 0.49599638 0.50882188 0.59238164 0.49614666 0.6086143
 0.60872465 0.3574008  0.82195923 0.61742255 0.67060658 0.56290346]"
"('cross_12_0', 'para_12_0', 'B1_1-3')",0.15564480071355302,-0.025288456276399973,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[ 5.74240446e-01 -2.22044605e-16  8.53891539e-01  5.23334125e-01
  5.26350352e-01  5.44648661e-01  5.43354345e-01  5.30956751e-01
  5.38234571e-01  6.05440214e-01  5.29739071e-01  6.18665328e-01
  5.99624585e-01  4.46834343e-01  8.02716134e-01  6.24177442e-01
  6.71613038e-01  5.81979056e-01]"
"('cross_12_0', 'para_12_0', 'B5_1-3')",0.13182906451484844,-0.05420756451768405,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.54659291 0.60967953 0.90897885 0.52405997 0.41580902 0.54891736
 0.54344184 0.45338984 0.50310607 0.61890486 0.48191345 0.62968611
 0.49082421 0.24402554 0.86747783 0.73295188 0.42101152 0.57502921]"
"('cross_12_0', 'para_12_0', 'L_1-3')",0.12704954666055013,-0.06001126476933183,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.63412711 0.39541465 0.80150348 0.55059935 0.42759111 0.52021953
 0.5727878  0.44950991 0.51890853 0.62466642 0.46133225 0.64890956
 0.38702174 0.26011005 0.85440862 0.786841   0.61266042 0.60918847]"
"('cross_12_0', 'para_12_0', 'loc_B5_1-3')",0.09016190480998953,-0.10480340130215571,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.5329564  0.43595936 0.8817382  0.47598961 0.46502715 0.49334815
 0.49616161 0.47283238 0.55017026 0.56436853 0.4726886  0.57735213
 0.59427364 0.37209479 0.83838982 0.65226023 0.64021057 0.59997857]"
"('cross_12_0', 'para_12_0', 'B1_B5_angle_1-3')",0.18918130901252816,0.015434446658069922,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.68926562 0.06967817 0.76152661 0.60740603 0.44147406 0.55669611
 0.62207081 0.47955521 0.60694795 0.69285232 0.49579303 0.68905456
 0.35299832 0.24884536 0.79330285 0.66243788 0.75701258 0.58888252]"
"('cross_12_0', 'para_12_0', 'B1_23-1')",0.1110070448378927,-0.07949144555398746,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.6440249  0.26813199 0.80532352 0.52138785 0.4718831  0.50325457
 0.56280617 0.46970997 0.54644043 0.60138526 0.48322237 0.63800295
 0.47908645 0.33186661 0.84460848 0.67101138 0.69535843 0.57829556]"
"('cross_12_0', 'para_12_0', 'B5_23-1')",0.11767129054220216,-0.07139914719875451,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.58104183 0.51314933 0.85876114 0.52797304 0.43651811 0.52424986
 0.54808025 0.45716061 0.50133766 0.61518997 0.46933844 0.62664759
 0.45473687 0.26445412 0.86455041 0.77391842 0.51403052 0.58466184]"
"('cross_12_0', 'para_12_0', 'L_23-1')",0.12216125348449236,-0.06594704934025919,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.61223104 0.30759521 0.84664669 0.51808504 0.48327697 0.50732064
 0.55668963 0.47169484 0.52583357 0.57986427 0.46941942 0.62430063
 0.47647672 0.33752801 0.86058906 0.80336702 0.51025646 0.62462478]"
"('cross_12_0', 'para_12_0', 'loc_B5_23-1')",0.11523571854388015,-0.07435662748243121,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.56945844 0.54055906 0.86137928 0.52292657 0.4344289  0.52515082
 0.54440315 0.45960397 0.49258623 0.62036993 0.47273454 0.62130252
 0.4595837  0.2569792  0.85524505 0.76475808 0.54017736 0.57415319]"
"('cross_12_0', 'para_12_0', 'B1_B5_angle_23-1')",0.14077546812976938,-0.043344074413851574,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.51655411 0.59392445 0.863798   0.54408104 0.35892605 0.55480817
 0.50050763 0.44955893 0.44253008 0.61967633 0.44823482 0.6059443
 0.42022454 0.26196346 0.81462659 0.83528432 0.58336874 0.70178845]"
"('cross_12_0', 'para_12_0', 'B1_3-1')",0.19015372022020793,0.016615231695966792,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.65714654 0.53358282 0.8243044  0.35923093 0.41891407 0.60522534
 0.6314845  0.49896785 0.53701122 0.7177227  0.52378964 0.71084345
 0.34320124 0.07518012 0.82122736 0.76791099 0.4505627  0.63949412]"
"('cross_12_0', 'para_12_0', 'B5_3-1')",0.09122319156716985,-0.10351469595415086,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.50904756 0.45500994 0.87999514 0.49925163 0.45531185 0.48688517
 0.53941007 0.43151807 0.55787322 0.56485918 0.45657631 0.60541799
 0.59273886 0.39216567 0.84311266 0.6328074  0.67394059 0.53987869]"
"('cross_12_0', 'para_12_0', 'L_3-1')",0.15537615966618934,-0.025614663262484294,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.48477538 0.25220447 0.8851071  0.7401986  0.61349204 0.60026435
 0.62854826 0.36888757 0.58888018 0.54533852 0.55726374 0.56980112
 0.50534584 0.211102   0.83888649 0.60880474 0.62945518 0.4874444 ]"
"('cross_12_0', 'para_12_0', 'loc_B5_3-1')",0.11546349225346586,-0.07408004512079147,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.44550178 0.42786933 0.90377831 0.52632732 0.63446584 0.56082819
 0.52939053 0.37901769 0.53165564 0.65630021 0.53920448 0.65365161
 0.61183059 0.27329805 0.80486147 0.55846017 0.63400076 0.44535803]"
"('cross_12_0', 'para_12_0', 'B1_B5_angle_3-1')",0.14620852920207417,-0.0367467859689099,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.45960646 0.54757759 0.8576752  0.41614983 0.58808089 0.62272821
 0.54718699 0.40553418 0.49522469 0.71801653 0.57724146 0.61060531
 0.50107324 0.11953655 0.72342636 0.61682315 0.80502553 0.50428783]"
"('cross_12_0', 'para_12_0', '0_dihedral_[23, 1, 3, 8]')",0.14396851107617603,-0.0394668079789291,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x0000026F0922C0D0>,"[0.67835658 0.27195279 0.75805576 0.57260485 0.43137709 0.56139279
 0.5784289  0.46176379 0.53672545 0.66630986 0.46841926 0.69653959
 0.36160457 0.25364417 0.83898532 0.71201334 0.72553789 0.54208799]"
