,cross_9_0,cross_angle_9_0,para_9_0,para_angle_9_0,dip_x_NPA_1-2-19,dip_y_NPA_1-2-19,dip_z_NPA_1-2-19,total_dipole_NPA_1-2-19,dip_x_NPA_20-19-27,dip_y_NPA_20-19-27,dip_z_NPA_20-19-27,total_dipole_NPA_20-19-27,dipole_x_1-2-19,dipole_y_1-2-19,dipole_z_1-2-19,total_dipole_1-2-19,dipole_x_20-19-27,dipole_y_20-19-27,dipole_z_20-19-27,total_dipole_20-19-27,B1_1-4,B5_1-4,L_1-4,loc_B5_1-4,B1_B5_angle_1-4,B1_4-1,B5_4-1,L_4-1,loc_B5_4-1,B1_B5_angle_4-1,aniso,iso
o_nitro,1660.5135,90.0,1697.301,90.0,4.314407318,-0.25295803900000013,0.3874675769999997,4.3391507692557685,1.080258811,1.491547965,-5.110855165,5.432542217806131,0.10233310970918919,0.5305943668403439,0.9906456695178867,1.1285,-0.6413478242192752,-0.852531442718376,0.3677558939646326,1.1285,1.6991,6.1538,5.1126,3.1652,30.1896,1.9569,3.9925,7.3704,3.1724,24.8066,160.411,108.497
p_Br,1643.5925,90.0,1667.2775,90.0,5.239797737000001,-0.13859196900000006,1.4528223800000002,5.4392445179795414,2.31237189,1.398709961,-6.5153597560000005,7.0536065996600055,-1.4354001940073682,2.79441364765385,4.16665191716917,5.2182,-4.3353460504554855,-2.5056449890070422,1.4685460026379542,5.2182,1.6991,7.5661,6.0513,4.1013,22.3678,2.0373,3.4217,7.4066,3.7585,15.2374,167.797,151.65
p_Cl,1644.9732,90.0,1673.7923,90.0,5.254119287000001,-0.1305191739999999,1.45822446,5.454284858031283,2.3222178860000002,1.409876239,-6.530046816,7.07262033043672,-1.5039613250939494,2.8242019008384376,4.074290014950115,5.1805,-4.347861879421549,-2.394204688001528,1.4838248412209663,5.1805,1.6991,7.2677,5.8396,4.0396,22.2412,2.0337,3.422,7.4081,3.758,15.1881,159.358,136.216
p_F,1668.675,90.0,1686.7409,90.0,5.2947993129999995,-0.08324927399999993,1.472687804,5.49642061478351,2.365902498,1.4490115549999998,-6.5520726510000005,7.115250181163578,-1.6468630366659094,2.896840114156734,3.9574412240077472,5.1735,-4.422798060598515,-2.198944030199649,1.5390529611469972,5.1735,1.6991,6.4426,5.5468,3.8803,21.9746,2.0383,3.4219,7.4067,3.7585,15.2862,144.99,105.159
p_I,1637.7132,90.0,1663.9261,90.0,5.23652204,-0.15097001099999993,1.4558659,5.437232801564589,2.3042784299999997,1.3880938880000004,-6.5180208890000015,7.051319027976723,-1.5299870822145734,2.876809125323289,4.042301482412362,5.1921,-4.369629909005674,-2.3472199286529607,1.5342703656322956,5.1921,1.6991,7.937,6.3596,4.2096,22.6093,2.0392,3.4217,7.408,3.7581,15.2532,179.99499999999998,176.09900000000002
p_Me,1647.2585,90.0,1691.1858,90.0,5.246378159000001,-0.10914229700000025,1.7034685320000003,5.517082641010637,2.5650507719999998,1.2970639609999999,-6.595205536,7.194344754315562,-3.060106282834084,3.7062963219793277,2.5387854185499568,5.4356,-5.017783415766096,-0.16996743419642382,2.0830926416689715,5.4356,1.6991,6.98,5.7037,3.9833,21.7964,2.054,3.8939,7.417,3.3553,22.3527,158.869,117.081
p_OEt,1650.561,90.0,1691.9215,90.0,5.265731221,-0.027777285999999735,1.7866689900000001,5.560654902910205,2.6686442940000004,1.327147623,-6.58879798,7.231544925006371,-4.188166888114556,3.881154935640901,3.191464448000495,6.5414,-6.295202878323226,-0.06301614344110545,1.776513587456279,6.5414,1.6991,8.6853,6.9458,5.2412,17.9078,2.0601,3.8914,7.4185,3.3598,22.3565,177.843,147.792
p_OH,1664.3776,90.0,1692.697,90.0,5.281893408999999,-0.028444698000000046,1.718698398,5.554559502622122,2.6129445989999995,1.3718305339999999,-6.580476899000001,7.211939732813264,-3.7674649987700044,3.5079943240662157,3.7349836566392294,6.36,-6.1375465704337575,-0.7818473011701139,1.4728056570402748,6.36,1.6991,6.4871,5.3557,3.8996,21.9091,2.0511,3.9005,7.4174,3.3372,22.5024,150.361,111.60000000000001
p_OMe,1651.7267,90.0,1692.9778,90.0,5.265765158,-0.02916367300000003,1.76415151,5.553500136784449,2.654656308,1.3399233929999999,-6.580495166,7.2211849057105715,-4.04366582965715,3.7864402590500292,3.3525214216628534,6.4751,-6.238067211872447,-0.2858247309107454,1.7124791220221398,6.4751,1.6991,7.6002,6.4743,5.0793,16.9251,2.0526,3.8973,7.4185,3.348,22.4194,164.303,131.578
p_Ph,1657.1433,90.0,1687.7438,90.0,5.216915130000001,-0.13474416999999997,1.648401752,5.472804381756084,2.4973468229999995,1.2854204089999999,-6.558981449000001,7.135074241418099,-2.789896837473561,3.5732895075203905,2.739455221700058,5.2968,-4.8742596664148925,-0.4864129798733368,2.015324365299969,5.2968,1.6991,9.5374,7.9321,3.2118,29.6447,2.0546,3.8923,7.4147,3.3563,22.3188,220.325,235.96800000000002
p_amine,1650.7953,90.0,1695.0942,90.0,5.320078109,0.024785490000000243,1.7667653249999995,5.605827781871104,2.6935928870000003,1.403863484,-6.614111584,7.278237930172976,-4.131654412456965,3.39044657107645,1.6480269611571394,5.593,-5.240392290857227,1.1470782568326587,1.5824629887064967,5.593,1.6991,6.897,5.5938,3.8938,21.1278,2.0498,3.9001,7.4168,3.3501,22.3615,156.664,122.657
p_azide,1646.5686,90.0,1686.111,90.0,5.257188520000001,-0.09358799300000023,1.523573035,5.474309512644739,2.387347969,1.4024110819999998,-6.528326245000001,7.091207988006038,-1.688304577849541,2.8812107883303772,3.8667178673418783,5.1091,-4.401523121706268,-2.1057196566794474,1.5151877628066104,5.1091,1.6991,6.9028,5.5879,3.8879,22.6892,2.0438,3.9058,7.4106,3.3118,23.1896,174.416,191.67000000000002
p_boc,1655.0745,90.0,1690.6121,90.0,4.964201237000001,-0.2285686520000001,2.209423739,5.4384823993984,2.9214571080000002,0.8543917840000002,-6.472541843000001,7.152530661509693,-5.1890568204340175,4.363886308403252,4.2937728423424835,8.0254,-7.809569645086005,-0.31095395878777926,1.8221496135239423,8.0254,1.6991,11.1794,7.852,6.0911,26.4243,2.0728,3.8808,7.4352,3.4125,21.0626,227.267,189.052
p_nitro,1709.1878,90.0,1675.9797,90.0,5.123441505000001,-0.283907322,1.3188878800000001,5.298086585046792,2.0947136440000005,1.3150436590000005,-6.420845261000001,6.880728082197555,0.26299286916562375,1.9296568081849403,6.764050883412509,7.0388,-4.102152563054756,-5.666737521462783,0.7781742814236079,7.0388,1.6991,7.4422,5.6788,3.4391,30.6401,2.0315,3.9004,7.4019,3.3058,23.2374,162.98299999999998,142.72799999999998
p_tfm,1656.7011,90.0,1693.8106,90.0,5.1868750100000005,-0.223877122,1.4006106859999998,5.37731379304341,2.220303971,1.3362216960000004,-6.490283437000001,6.988491771269108,-0.8297668176718297,2.3611826736859234,5.124853143239927,5.7033,-4.23152743116013,-3.6598568523776365,1.1078987992789862,5.7033,1.6991,7.5561,5.6043,3.0332,21.8233,2.0361,3.9044,7.4044,3.3084,23.1895,158.334,118.62100000000001
penta_F,1705.8671,90.0,1721.7035,90.0,1.0490117220000004,-0.539025544,2.225832003,2.5189883357325997,1.7675577579999997,-0.884869023,-1.5350585649999995,2.502730191952544,-1.2025322775741234,2.5914977580211764,3.2371195454545085,4.3175,-3.5867271678990695,-1.783477479915254,1.6110505149404397,4.3175,1.6991,6.408,5.4748,3.9911,20.3808,2.0627,3.371,7.4351,3.8169,17.4325,146.697,946.469
